AFFX-HUMRGE/M10098_5_at	AFFX-HUMRGE/M10098_M_at	AFFX-HUMRGE/M10098_3_at	AFFX-M27830_5_at	D13639_at	D83735_at	D83920_at	D87433_at	D88270_at	D88422_at	HG987-HT987_at	J03909_at	J04102_at	J04164_at	J04456_at	J04615_at	K01911_at	L19686_rna1_at	L20971_at	M11717_rna1_at	M11722_at	M12759_at	M12886_at	M16279_at	M19507_at	M21005_at	M21624_at	M21904_at	M27891_at	M28826_at	M33882_at	M38591_at	M38690_at	M57710_at	M58459_at	M63573_at	M74719_at	M84526_at	M89957_at	M91036_rna1_at	M91438_at	M92934_at	M94345_at	M96326_rna1_at	U02020_at	U02687_at	U05259_rna1_at	U09770_at	U10485_at	U46499_at	U50743_at	U60644_at	X03934_at	X04500_at	X05908_at	X17042_at	X58529_at	X59871_at	X62744_at	X77737_at	X82240_rna1_at	X95735_at	Z22548_at	Z23090_at	Z69881_at	Z83821_cds2_at	Z84721_cds2_at	L08895_at	M23178_s_at	L33930_s_at	M25079_s_at	M87789_s_at	U05255_s_at	J03077_s_at	M21119_s_at	M34996_s_at	U89922_s_at	M13560_s_at	M16336_s_at	X64072_s_at	M28130_rna1_s_at	Y00787_s_at	M27783_s_at	M26311_s_at	U20734_s_at	M30703_s_at	M57731_s_at	M57466_s_at	M63438_s_at	U23852_s_at	X00437_s_at	X65965_s_at	X76223_s_at	AF000424_s_at	M21305_at	U57341_at	HG3576-HT3779_f_at	U01317_cds4_at	M15395_at	M34516_at	Class
B38	2	2	2	2.396199347	3.002597981	3.113274692	2.45331834	3.016615548	3.914078585	2.608526034	2.795880017	3.041392685	2.857935265	3.043362278	2.247973266	3.128399269	3.246498581	3.009025742	2.387389826	2.968482949	3.873901598	2	2	3.756331767	3.428296814	3.947727727	2	2	2.255272505	2	3.076276255	2	3.291590826	2.290034611	2	2.871572936	3.077004327	2	3.582631439	2.450249108	2	2.480006943	3.316180099	3.435207103	2	3.042575512	3.35831564	2.460897843	2.630427875	2	2.472756449	2	2.525044807	3.433609843	2	3.654080235	3.66133934	2	3.565611725	2.795880017	4.126456113	2.571708832	2.748962861	3.964070971	3.587486465	2.808210973	4.204119983	2.209515015	2	2.979092901	4.204119983	3.872913442	2	3.485011215	2.537819095	3.483872454	2	4.204119983	2	2.811575006	2	2	3.93916968	4.134782529	2	2	2	3.748498127	3.552424846	2.344392274	2	2.608526034	2	2.994756945	3.292699003	2.975431809	3.924950889	3.372175286	2.908485019	3.466571072	B
AML12	2	2	2	2.440909082	2.206825876	2	3.678609417	3.223495941	2	3.974649834	3.437274797	4.128883702	2.120573931	2	4.204119983	2	2	3.755569981	2	2.481442629	2	2	2.227886705	3.611298362	2.873320602	3.948021533	2	2	4.204119983	2	2	3.707229419	2	3.999478534	3.207365037	2.498310554	2	3.858115932	2	2.29666519	3.529558673	2	3.545925329	3.224274014	2.960946196	2.041392685	2.662757832	3.856063953	2	2.950364854	2	3.142702246	2.220108088	2	3.257198426	3.804207605	2	2	3.157456768	2	2	3.302547372	2	2.95616843	2.733197265	2	2.041392685	2	2.748188027	2	3.27600199	2.57863921	2	4.204119983	3.336659823	2.556302501	2	3.680788612	2.198657087	3.50242712	2	2.773054693	2.176091259	4.204119983	2.878521796	2.503790683	2	3.435366507	2	2.176091259	2	2.775974331	2	4.141324327	2	2.301029996	3.438542349	3.178976947	3.844787719	3.396722279	M
AML13	3.144885418	2.850033258	3.040997692	3.318063335	3.375663614	3.193958978	2.876794976	2.494154594	2	2.929418926	2.507855872	3.516403148	3.556302501	2	3.854002233	3.186956335	2	3.197831693	2.243038049	2.318063335	2.089905111	2.120573931	2.909556029	4.070148736	3.954531943	2.7930916	2.130333768	3.155032229	4.204119983	2	2.201397124	3.803320524	2.790285164	3.357934847	2	2	2.117271296	4.204119983	2	3.186391216	2	2.257678575	3.373463722	4.139060079	2.992553518	2.264817823	2.836324116	3.335658452	2.418301291	3.090963077	2.243038049	2.978180517	2.755874856	2.707570176	3.617524535	3.848558572	2.57054294	2	3.039017322	3.079904468	2	3.587710965	2	2.802773725	2.285557309	2.770852012	4.198876927	2	2.918030337	2	4.158211669	3.568670978	2	3.841046465	2.848189117	2.411619706	2	3.902546779	2	3.389874558	3.559667278	3.916559219	4.07397482	3.290034611	3.180412633	2	2.716003344	2	3.695043659	2.475671188	2	3.095518042	2	3.176958981	2.283301229	3.159567193	3.353339095	3.225825991	2.975431809	3.213783299	M
AML14	3.281941933	2.324282455	2.691965103	3.072617477	2.445604203	2	2	2.864511081	2	2.997823081	3.140193679	2.896526217	3.202215776	2	3.508933526	2	2	3.336459734	2.582063363	2.152288344	2	2.303196057	2	3.475961589	4.007363654	3.128722284	2	2.501059262	3.438542349	2	2.204119983	2.672097858	2.146128036	2.802773725	2	2	2.40654018	3.993480319	2	3.369030222	3.762828553	2	2.328379603	4.204119983	3.339650158	2	2.582063363	3.293362555	2	3.103461622	2.45484486	2.532754379	2.572871602	2	3.551937695	3.842422003	2	2	2.802773725	3.08350262	2	3.368286885	2	2.602059991	2.729974286	3.161966616	4.204119983	2	2.593286067	2.146128036	4.204119983	3.82672252	2	3.410945859	3.385427515	2	2	3.682776646	2	3.369030222	4.204119983	4.204119983	3.774443969	3.06069784	3.55291145	2.53529412	3.769746467	2	4.033624771	2.356025857	2	3.02325246	2	3.056904851	2.008600172	3.224533063	2.809559715	3.39252109	3.232233521	3.629817196	M
AML15	2	2	2	2.06069784	2.775974331	2.021189299	3.212986185	3.154119526	2	3.587823171	2.940516485	3.647969458	3.472024698	2	3.753889331	2	2	3.312388949	2.440909082	2.10720997	2.079181246	2.481442629	2	3.665017825	3.960851154	3.091666958	2	3.214313897	4.067665882	2	2.376576957	2.776701184	2.193124598	3.084218687	3.461648568	2	3.120244796	3.8192148	2	2	3.862429556	2	3.061829307	4.042811692	3.160168293	2.592176757	2	2.918030337	2.238046103	3.199206479	2.064457989	2.850033258	2.536558443	3.623042434	3.396896449	3.862191031	2.7355989	2	3.530199698	2	2	3.764475027	2	2.561101384	2.340444115	2	3.887110703	2	3.119255889	2	4.204119983	2.767155866	2	3.858477042	2.445604203	3.225825991	2	4.204119983	2	3.688419822	3.983175072	4.11872755	2.783188691	3.283979284	3.630326155	2.602059991	3.351603072	3.802226238	2	2.431363764	2	3.432809005	2	3.32756326	2.878521796	2.130333768	4.187266838	2.761927838	3.427486109	2.484299839	M
AML16	2	2	2	2	3.140193679	2	2	2	2.149219113	3.350441857	3.292477594	3.301897717	2	3.348110068	3.737192643	3.09131516	2	3.516403148	2	3.073351702	2	2.447158031	2.139879086	3.905849827	4.204119983	3.694078462	2	2.814913181	4.030882953	2	2.503790683	3.371990911	2	2.63748973	2	3.626237685	2.768638101	3.640083731	2	2	2	2.071882007	2	4.181729285	2.414973348	2	2.190331698	3.279666944	2.376576957	2.808210973	2.278753601	2.919078092	2.630427875	2.686636269	2.950851459	3.860218185	2.371067862	2	3.074084689	2	2	3.643748685	2	3.778802204	3.18920949	2	3.599446376	2.561101384	2	2.456366033	3.69399061	4.204119983	2	3.855761372	3.304705898	2.380211242	2	3.876102321	2	3.404320467	2.190331698	2	4.204119983	3.926239521	2.84260924	2	2	3.124504225	4.204119983	2.625312451	2	2.149219113	2	2.857935265	3.796227314	2.42975228	3.615002615	2.507855872	3.637589786	4.018991595	M
AML17	2	2	2	2	2.936513742	2.562292864	2.559906625	2.959041392	2	3.303196057	3.042181595	3.121231455	2	2.42975228	3.514813295	2	2	3.258158193	2	2.960470778	2	2	2.382017043	3.105510185	3.999391562	3.705350463	2	2.92890769	3.500785173	2	2	2.235528447	2	2	2.222716471	2.881954971	2.274157849	4.005180513	2	2.396199347	3.339451441	2	3.098643726	4.204119983	2	2.51054501	2.240549248	2.540329475	2.117271296	3.102776615	2.36361198	2	2.53529412	2.571708832	2.552668216	3.952501848	2.494154594	2	2.382017043	2	2	3.359266165	2	2.907948522	3.104145551	2	3.335858911	2	2.44870632	2	3.405687787	4.023746163	2	3.491501766	3.654946227	2.356025857	2	3.391993072	2	3.520221436	2	2.103803721	4.174844494	4.075656434	3.063333359	2	2.033423755	2	3.996818022	2.354108439	2	2.392696953	2	2.687528961	3.568670978	2	2.537819095	2.173186268	3.178113252	3.586587305	M
AML18	2	2	2	2	3.319314304	3.329397879	3.315340477	2.764176132	2	3.171141151	2.786751422	3.655042341	2	3.346157302	3.606703741	2.761927838	2	2	2.46686762	2.480006943	2	2.471291711	2.725094521	3.66152874	4.1532049	3.772908195	2.089905111	2	4.152074203	2	2.940018155	2.729974286	2	2.790988475	3.136403448	2.868056362	2.51851394	3.771072783	2	4.18723862	2.204119983	2	2.725094521	3.410102077	2.45331834	2	2.843855423	3.138302698	2.100370545	3.170261715	2.413299764	2.956648579	2.786751422	2.583198774	2.742725131	3.562649672	3.075546961	2.11058971	3.446226402	2.978636948	2.28780173	3.458033192	2	2.768638101	2.397940009	3.209246849	4.204119983	2	2.729974286	2	4.204119983	4.008216802	2	4.037745129	3.2955671	3.721810615	2	4.204119983	2.408239965	3.561578368	2.820201459	3.3287872	3.354492601	4.204119983	3.717420837	2	2.334453751	3.374198258	3.790847904	2.740362689	2	2.668385917	2.133538908	3.174931594	4.069963938	3.762153192	3.812712867	3.23350376	3.531861949	3.595165415	M
AML19	2	2	2	2	3.163459552	2.998259338	2.718501689	2	2	3.620864475	3.15136985	2.42975228	2	3.219322508	2.45484486	2.991226076	2	2.57863921	2.220108088	3.082066934	2.648360011	2.369215857	2	3.022840611	4.204119983	4.204119983	2	2	3.390935107	2	2.309630167	2.123851641	2.045322979	2.271841607	2.056904851	3.528273777	2.26245109	3.570192561	2.439332694	2.912753304	2	2	2	4.204119983	2.515873844	2.037426498	2.496929648	2	2.281033367	3.195346058	2.1430148	2	2.56937391	2.526339277	2.830588669	4.019074729	2.515873844	2	3.102090526	2	2	3.32674538	2	3.399154334	2.847572659	2.26245109	4.204119983	2	2	3.384890797	4.204119983	4.164442085	2	3.537189226	3.697665163	2.716003344	2	3.784046416	2	2.907411361	2	2.204119983	4.204119983	4.204119983	2.69019608	2	2	2.755874856	4.204119983	2.298853076	2	2.498310554	2	2.556302501	3.494988974	2.881384657	3.390581879	2.975431809	3.099335278	4.047897624	M
AML20	2	2	2	2	3.389343311	3.427486109	2	2	2	2.146128036	3.110252917	2	2	2.951823035	3.254306332	3.15075644	2	3.170261715	2.514547753	3.66996737	2.344392274	2	2.220108088	3.806451323	4.204119983	2.409933123	2.127104798	2.907411361	2.089905111	2	2	2	2	2	2	2.840733235	2.536558443	3.328379603	2	2.726727209	2	2	2	3.361160995	2.862131379	2.178976947	2.511883361	3.46329561	2.139879086	3.500510911	2	2	2.57054294	3.124504225	3.304705898	2.989004616	2.184691431	2	3.342225229	2	2	3.503245771	2	3.759138816	3.302547372	2.173186268	4.204119983	2	2.298853076	2	4.204119983	2	2	3.33405144	2.791690649	2.952792443	2	3.993656629	2	2.421603927	3.768193962	4.145134226	3.534026106	2	3.422917981	2.383815366	2.356025857	3.190611798	2	2.004321374	2	2.843232778	2	2	3.536937023	2.478566496	3.99725529	2.330413773	2.607455023	2	M
AML21	2.017033339	2	2.079181246	2.152288344	3.265760917	3.294025094	2	2	2	3.129367596	3.120244796	3.106190897	2	2	3.656673046	2.997823081	2	3.587374172	2.866287339	3.442793226	2	2	2	3.747489492	4.204119983	3.67614468	2.123851641	2	4.104998949	2	2	3.082066934	2.5289167	2.607455023	3.16613397	3.120573931	2.301029996	3.669037801	2	2.342422681	2	2	3.031812271	3.659060072	3.068556895	2	2.478566496	3.155639634	2	3.190331698	2.40654018	2.769377326	2.540329475	2	3.424881637	3.706376356	2	2	3.416141031	2	2	3.341236623	2	3.208172527	2.829303773	2.08278537	3.418467021	2	3.174350597	2	3.549248557	2.663700925	2	3.426998959	2.901458321	2.8162413	2	4.008898115	2	3.276231958	3.471878199	3.859078225	3.592287816	3.859978442	3.768638101	3.064457989	2.733999287	3.317436497	2.23299611	2.23299611	2	3.025305865	2	3.394276527	3.295347148	2	3.884908594	2	3.316180099	2	M
AML22	2.755112266	2.679427897	2.113943352	2.542825427	3.128722284	2.982271233	2.285557309	2	2.33243846	2.025305865	3.234517284	2.475671188	2.155336037	3.418467021	2.804820679	2.95616843	2	3.767675224	2	2.456366033	2.396199347	2.181843588	3.218272854	3.014520539	2.357934847	2.187520721	2.322219295	2	3.322839273	2	2.212187604	2.426511261	2	2.727541257	3.428782511	3.74296067	2.423245874	2	2.488550717	4.195899652	2.250420002	2	2	2.579783597	2.385606274	2	2.794488047	2.447158031	2	2.212187604	2	2	2.62838893	2	2	3.523746467	3.289365952	2.113943352	2.920123326	3.434249452	2	2.73479983	3.143951116	3.161667412	3.065206128	2.979548375	4.204119983	2	2.041392685	2.250420002	4.204119983	3.035029282	4.204119983	3.265525335	2.509202522	2.281033367	2.382017043	3.472463897	2	3.081347308	2.113943352	2.7930916	2.068185862	2.612783857	3.09725731	2	2	2.639486489	3.217747073	2.660865478	2.905256049	2.769377326	2	3.150449409	2.369215857	3.32159843	3.299507299	3.800854492	3.221153322	3.348110068	M
AML23	3.575418791	3.335257256	3.031812271	3.012837225	3.435207103	3.33243846	2	2.717670503	2.283301229	3.892484179	3.223495941	4.059487684	2.888740961	3.037426498	3.880012838	2	2	3.223755454	2.559906625	2.860936621	2.025305865	2.684845362	2.46834733	3.645815118	3.770483809	3.968342831	2	3.277150614	4.204119983	2	2.542825427	3.615844883	2.421603927	3.707314634	2	3.020775488	3.008600172	3.898944467	2	2	2	2	2.948412966	3.356025857	3.063333359	2.51054501	2.545307116	3.711722892	2.440909082	3.442009159	2	3.473778835	2.645422269	3.334654767	3.31993844	3.714162046	2.813580989	2.117271296	3.720076573	2	2	3.774443969	2	3.163459552	2	2	2	2.755874856	3.578868329	2	2	3.392872745	2	4.112437417	3.499274582	3.296006669	2	4.204119983	2.491361694	4.011358954	3.467015818	3.982813762	3.343014497	4.204119983	3.830652814	2	2.40654018	3.689752696	3.761702368	2.536558443	2	2.976349979	2	3.826074803	2.322219295	2.36361198	4.203440867	2	3.685652184	3.691346764	M
AML24	2	2	2	2.164352856	3.01745073	2.763427994	2.271841607	4.139154658	2.318063335	2.818225894	3.107888025	2.711807229	3.275080898	2.926856709	3.774735883	2.823474229	2	2.584331224	2.045322979	2.939519253	2	2.418301291	2.820201459	3.276231958	3.592953572	2.428134794	2.625312451	2	3.517591731	2	2	2.501059262	2.045322979	2.385606274	2.867467488	2	2.862727528	3.432167269	2	2.481442629	3.703291378	2	2.920123326	3.464489547	2.582063363	3.168497484	3.029383778	3.232233521	2.767155866	3.15075644	2.503790683	2	2.662757832	2.245512668	3.205204364	3.80009818	3.008174184	2.283301229	3.666330744	2	2	3.620552445	2	2	3.445448514	2	2.401400541	2.294466226	2.944975908	2	2.582063363	3.539201599	2	3.219846386	2.033423755	2.257678575	2	4.048635988	2.352182518	3.317227349	2	3.426023016	2.45331834	2	2.556302501	2	3.128399269	2.963315511	3.069298012	2.631443769	2	2.536558443	2	3.468051791	3.754271869	2	3.58172216	2.103803721	3.413467413	2.746634199	M
AML25	2	2	2	2.303196057	2.133538908	3.519827994	4.142013833	3.564902673	2	3.839666557	3.168202747	3.891704676	2	3.445759836	3.973266436	2.985875357	2	2.858537198	2	2.961421094	2	3.416307587	3.182414652	3.212986185	3.415974411	4.189967298	2.307496038	2	4.204119983	2	3.137670537	3.649724186	2	3.807196661	3.20790353	3.245018871	2.629409599	3.720076573	2	2.525044807	2	2	3.393048466	3.098643726	2.574031268	2	3.241048151	3.447932866	2.638489257	3.049605613	2	2.992111488	2.698970004	2	3.084218687	3.72542155	3.710202015	2.322219295	3.569256833	2	2.389166084	3.853272224	2	2.356025857	3.182984967	2	3.728110184	2.599883072	2.559906625	2	3.876852648	4.097569639	2	4.204119983	4.11846314	3.475380593	2.902546779	4.204119983	2.161368002	3.784117816	2	2.507855872	2.421603927	4.204119983	3.449324093	2	2	3.534533756	4.204119983	2.820857989	2.276461804	2.519827994	2	3.641275757	2	2	3.990915755	2.688419822	3.878464345	4.164144582	M
